X,Y,OBJECTID,KOD,NAZEV,TYP,POCET,OP_TYP,URCENO,ZMENA_G,ZMENA_T
15.7951132739099,49.9435585833065,5176,104769,Platan javorolistý,1,1,ZAK,1,20100325,20100325
14.3030462265752,49.8190141025349,5177,105424,Hrbkův topol,1,1,VYH,1,20100610,20101229
16.1677867715577,49.9708570630151,5178,101122,Dub letní,1,1,ZAK,1,20100325,20130723
15.389298974023,49.9106939828692,5179,103954,Jasan u čáslavského kostela,1,1,ZAK,1,20100610,20100610
13.9790931344729,49.7881855880778,5180,103428,Lípa v Jincích,1,1,VYH,1,20100610,20130723
13.8777958962716,49.7777994948572,5181,104189,Dub zimní,1,1,ZAK,1,20100610,20111201
16.8979955360466,50.020509020448,5182,100112,Fetkova lípa,1,1,ZAK,1,20100421,20100421
13.6876158060494,49.7174689889067,5183,102301,Dub u Burýšků,1,1,VYH,1,20100215,20100921
14.6797739902647,49.807222550313,5184,104268,Dvě lípy malolisté,3,2,ZAK,1,20100610,20100610
14.6796944756666,49.8071559061329,5185,104268,Dvě lípy malolisté,3,2,ZAK,1,20100610,20110529
17.3162843861161,50.0046506268295,5186,100519,Lípa u bývalé pily,1,1,VYH,1,20100326,20110809
16.3878209006334,49.9408190107325,5187,101143,Dub letní,1,1,VYH,1,20100325,20101207
13.6842479052137,49.7145620369865,5188,102317,Dub u Houšků,1,1,VYH,1,20100215,20100921
16.3755503722908,49.9396852821907,5189,104790,Borovice lesní,1,1,VYH,1,20100325,20101209
16.1066524343054,49.9180891304865,5190,101119,Lípa srdčitá,1,1,VYH,1,20100325,20110809
17.1161296002919,49.9881664427018,5191,105122,Lípa u Vaňatků - Rudoltice,1,1,VYH,1,20100118,20110809
16.7153112415473,49.9609417764844,5192,101220,Taraškova lípa,1,1,VYH,1,20100325,20110407
17.1119549858538,49.9874145914201,5193,100082,Lípa v Rudolticích,1,1,ZAK,1,20100118,20110809
16.1613245378252,49.9209793015523,5194,101120,Javor babyka,1,1,VYH,1,20100325,20110809
